project,repo,defect_id,date,evidence_type,evidence_url,commit_sha,defect_class,class_confidence,discovery_venue,venue_confidence,description,evidence_quote,experiment_ruining_proposed,ruining_rationale,fix_files,fix_loc
AirStack-core,castacks/AirStack,AirStack-core-011,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/351#discussion_r3190886338,6a0f9a7fd9f96b9f068662a7fa803813b60504ef,logic,medium,unknown,high,[stack] found in PR review: lidar filter dropped NaN points only; +/-Inf points passed through to the published cloud,"`read_points(..., skip_nans=True)` filters NaNs but not +/-Inf. As a result, infinite points can pass through and be published",uncertain,Infinite points in a cloud can corrupt downstream mapping.,robot/ros_ws/src/sensors/lidar_point_cloud_filter/lidar_point_cloud_filter/lidar_point_cloud_filter_node.py (rewritten within PR #351; commit_sha is the squash merge),n/a (fix commit not isolated; final node filters with np.isfinite)
AirStack-core,castacks/AirStack,AirStack-core-012,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/351#discussion_r3197781929,6a0f9a7fd9f96b9f068662a7fa803813b60504ef,logic,medium,unknown,high,"[harness] found in PR review: test_sensor_streams_stable merged sim-side and robot-side rate dicts keyed by identical topic names, dropping one side's samples from metrics.json","`rates = {**rates_sim, **rates_rsd, **rates_lidar}` overwrites entries because sim-side and robot-side stereo/depth use the same topic names. This drops one side's samples from `metrics.json`.",no,Metrics bookkeeping only.,tests/test_sensors.py (within PR #351; commit_sha is the squash merge),"n/a (fix commit not isolated; final code records ('sim', rates_sim) etc. separately)"
AirStack-core,castacks/AirStack,AirStack-core-013,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/351#discussion_r3190886240,6a0f9a7fd9f96b9f068662a7fa803813b60504ef,parameter,medium,unknown,high,"[stack] found in PR review: isaac-sim-gui service launched tmux_gui_with_shell.sh, a script that did not exist in the repository","`isaac-sim-gui` now launches `bash /isaac-sim/AirStack/simulation/isaac-sim/docker/tmux_gui_with_shell.sh`, but that script does not exist in the repository. / This is resolved.",no,GUI service fails at start.,simulation/isaac-sim/docker/docker-compose.yaml (within PR #351; commit_sha is the squash merge),n/a (fix commit not isolated; final compose launches /isaac-sim/runapp.sh)
AirStack-core,castacks/AirStack,AirStack-core-014,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/351#discussion_r3197447153,6a0f9a7fd9f96b9f068662a7fa803813b60504ef,logic,medium,unknown,high,[stack] found in PR review: asyncio import removed while the SAVE_SCENE_TO export path still called asyncio.get_event_loop(); NameError when export enabled,"`asyncio` is no longer imported in the updated import block. If `SAVE_SCENE_TO` is enabled, the script will raise `NameError: name 'asyncio' is not defined`.",no,Optional export path only.,simulation/isaac-sim/launch_scripts/example_one_px4_pegasus_launch_script.py (within PR #351; commit_sha is the squash merge),n/a (fix commit not isolated; final script imports asyncio)
AirStack-core,castacks/AirStack,AirStack-core-015,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/351#discussion_r3197447100,6a0f9a7fd9f96b9f068662a7fa803813b60504ef,logic,medium,unknown,high,[harness] found in PR review: check_lidar_filtered_cloud_sanity returned a 2-tuple on the too-few-containers path while callers unpacked three values; ValueError masked the real failure,"`check_lidar_filtered_cloud_sanity()` returns only a 2-tuple when there are fewer robot containers than `env[""num_robots""]`, but callers ... unpack three values `(ok, msg, rates)`. This will raise a `ValueError`",no,Harness error reporting only.,tests/sensor_probes.py (within PR #351; commit_sha is the squash merge),n/a (fix commit not isolated; final early-return yields a 3-tuple)
AirStack-core,castacks/AirStack,AirStack-core-016,2026-05-08,commit_msg,https://github.com/castacks/AirStack/commit/b07cf268cf276269ddd598b4cbea0d7fa47c5fdc,b07cf268cf276269ddd598b4cbea0d7fa47c5fdc,other,high,unknown,low,[stack] gcs.launch.xml comment contained '--no-sandbox'; '--' is illegal inside an XML comment and crashed the ROS 2 launch parser,gcs.launch.xml: comment had `--no-sandbox` (`--` is illegal inside an XML comment and crashed the ROS launch parser),no,GCS launch fails immediately at start.,common/ros_packages/desktop_bringup/launch/gcs.launch.xml,+1/-1 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-017,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/350#discussion_r3193069385,b07cf268cf276269ddd598b4cbea0d7fa47c5fdc,build,medium,unknown,high,[stack] found in PR review: gcs_visualizer imported coordination_msgs and coordination_bringup without declaring them; build ordering and isolated installs could break,"gcs_visualizer Python code imports coordination_msgs (PeerProfile) and coordination_bringup (peer_profile/frame_utils), but those packages are not declared as dependencies here.",no,Dependency declaration only.,common/ros_packages/coordination/coordination_bringup/package.xml; common/ros_packages/desktop_bringup/package.xml; common/ros_packages/msgs/task_msgs/package.xml; gcs/ros_ws/src/gcs_visualizer/package.xml; robot/ros_ws/src/autonomy_bringup/package.xml,+9/-1 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-018,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/350#discussion_r3210757069,b07cf268cf276269ddd598b4cbea0d7fa47c5fdc,timing_clock,medium,unknown,high,[stack] found in PR review: gossip node timers and outgoing stamps used ROS time under use_sim_time; a paused /clock froze gossip and broke dedup-by-stamp,"When use_sim_time=true ... ROS time pauses if /clock stops, so gossip publish/drain will also pause. / swap startup log + outgoing-stamp clock to STEADY_TIME so the dedup-by-stamp invariant survives /clock pauses",uncertain,Only matters when sim time pauses; peers would stop hearing each other.,common/ros_packages/coordination/coordination_bringup/coordination_bringup/gossip_node.py,+10/-13 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-019,2026-05-08,commit_msg,https://github.com/castacks/AirStack/commit/beba768362732603af0df8bde0b585415798cedb,beba768362732603af0df8bde0b585415798cedb,remap_topic,medium,unknown,low,[stack] domain_bridge forwarded mavros/global_position/raw/fix while the dds_router and GCS consumed global_position/global; GCS saw no robot GPS in that path,autonomy_bringup domain_bridge: bridge /global_position/global to match the dds_router and the rest of the stack (was /raw/fix),uncertain,GCS-side visibility only; onboard autonomy unaffected.,robot/ros_ws/src/autonomy_bringup/onboard_all/config/domain_bridge.yaml,+1/-1 (listed files only)
AirStack-core,castacks/AirStack,AirStack-core-020,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/350#discussion_r3193069369,efad6190562d77ec24c4fbd98fde65f073e9dd37,logic,medium,unknown,high,[stack] found in PR review: random_walk check_if_collided read search_bounds_xy_ without the planner mutex while the action thread mutates it; data race,"check_if_collided() calls point_in_search_bounds() without holding the planner mutex, but search_bounds_xy_ can be mutated concurrently ... This creates a data race (and potential crash)",uncertain,Race between exploration action and planner threads; crash probability unknown.,robot/ros_ws/src/global/planners/random_walk/src/random_walk_logic.cpp,+1/-1 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-021,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/350#discussion_r3193069396,efad6190562d77ec24c4fbd98fde65f073e9dd37,parameter,medium,unknown,high,"[stack] found in PR review: robot_state_publisher fallback resolved URDFs under autonomy_bringup/urdf, a directory that does not exist; default bare filename could not resolve","The fallback URDF lookup uses FindPackageShare('autonomy_bringup')/urdf, but autonomy_bringup has no urdf/ directory in this repo.",no,Launch fails at start when the fallback is taken.,common/ros_packages/robot_descriptions/launch/robot_state_publisher.launch.py,+4/-4 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-022,2026-05-08,pr_thread,https://github.com/castacks/AirStack/pull/350#discussion_r3210757250,fba3078e196460943d4f94766c0bedeb12696e03,logic,medium,unknown,high,[stack] found in PR review: render_layout rewrote the Foxglove template in place on every GCS start and stripped only one _r<n> suffix; panel ids stacked,"render_layout: regex now strips every trailing _r<n> (was: only the last one), fixes _r1_r1_r1... stacking on repeated runs",no,Operator layout drift only.,gcs/foxglove_extensions/render_layout.py,+14/-11 (listed files only)
AirStack-core,castacks/AirStack,AirStack-core-023,2026-05-14,commit_msg,https://github.com/castacks/AirStack/commit/be71915d5cf4f84585b5eb3c423d9af8d78bc8d3,be71915d5cf4f84585b5eb3c423d9af8d78bc8d3,build,medium,bench_hardware,low,"[stack] robot-l4t image did not build/boot on Jetson Jazzy: dustynv venv Python paths, stale ROS keyring, OpenCV overlay conflicts, parallel build race on stack-base","deployment to jetson with ros2 jazzy now fixed / Compose v2+ may schedule service builds in parallel, so BUILD FROM that tag can race before stack-base finishes",no,Build/deploy-time failure.,.agents/skills/docker-build-profiles/SKILL.md; .env; airstack.sh; robot/docker/Dockerfile.l4t-stack-base; robot/docker/Dockerfile.robot; robot/docker/docker-compose.yaml; (+1 more),+122/-13
AirStack-core,castacks/AirStack,AirStack-core-024,2026-05-15,commit_msg,https://github.com/castacks/AirStack/commit/a26cb2541ffcd84e4411c35f7a69a121b6dd1f34,a26cb2541ffcd84e4411c35f7a69a121b6dd1f34,other,medium,unknown,low,"[stack] imported USD stages carried a baked-in PhysicsScene beside Isaac's auto-created one; PhysX warned 'Physics scenes stepping is not the same', sensors desynced","PhysX can only step a single scene coherently, so duplicates trigger ""Physics scenes stepping is not the same"" and desynced sensors.",uncertain,Sim-only physics desync; affects any scene-import run until deduped.,simulation/isaac-sim/utils/scene_prep.py,+131/-34 (listed files only)
AirStack-core,castacks/AirStack,AirStack-core-025,2026-05-19,commit_msg,https://github.com/castacks/AirStack/commit/ab2daec37368e99dd52a6691ee3ce6ab16cc36df,a26cb2541ffcd84e4411c35f7a69a121b6dd1f34,logic,medium,unknown,low,"[stack] gossip node iterated cfg.get('payload_topics', []) which returned None for a present-but-empty key; node crashed on an empty payload config","bug in gossip if payload is empty / -        for entry in cfg.get(""payload_topics"", []): +        for entry in cfg.get(""payload_topics"") or []:",uncertain,Crash at coordination-node startup for one config shape.,common/ros_packages/coordination/coordination_bringup/coordination_bringup/gossip_node.py (PR commit ab2daec373; commit_sha is the squash merge),+1/-1
AirStack-core,castacks/AirStack,AirStack-core-026,2026-05-19,commit_msg,https://github.com/castacks/AirStack/commit/053bce0cf25e2ff226210145ac9b8a80dc6b44b5,a26cb2541ffcd84e4411c35f7a69a121b6dd1f34,remap_topic,high,unknown,low,[stack] Foxglove GCS layout subscribed the depth panel to a truncated topic name 'depth_ground_'; panel showed nothing,"-        ""imageTopic"": ""/robot_1/sensors/front_stereo/right/depth_ground_"", +        ""imageTopic"": ""/robot_1/sensors/front_stereo/right/depth_ground_truth""",no,Operator display only.,gcs/foxglove_extensions/airstack_default.json (PR commit 053bce0cf2; commit_sha is the squash merge),+1/-1
AirStack-core,castacks/AirStack,AirStack-core-027,2026-05-19,commit_msg,https://github.com/castacks/AirStack/commit/8668e3f806bcb432f5619c090b4c94865b053f39,a26cb2541ffcd84e4411c35f7a69a121b6dd1f34,parameter,medium,unknown,low,[stack] 'airstack config nucleus' substituted a PASTE-YOUR-API-TOKEN placeholder that the CI guest-default template no longer contained; omni_pass.env never received the token,fixed omni_pass.env file creation bug from CICD guest default profile,no,Setup-time credential file; Isaac fails to authenticate at launch.,.airstack/modules/config.sh (PR commit 8668e3f806; commit_sha is the squash merge),+3/-1
AirStack-core,castacks/AirStack,AirStack-core-028,2026-05-20,commit_msg,https://github.com/castacks/AirStack/commit/08040b72e7bed45c137dc410582b554e2efeca5b,08040b72e7bed45c137dc410582b554e2efeca5b,build,high,unknown,low,[stack] libNatNet.so installed without exec bit and no LD_LIBRARY_PATH hook; launch looked for the node at the wrong install path; node could not launch,Use PROGRAMS (not FILES) to preserve the execute bit — shared libraries must be executable for the dynamic linker to map them / node_path = Path(pkg_share).parent.parent / 'lib' / 'natnet_ros2',no,Fails at node launch.,robot/docker/docker-compose.yaml; robot/ros_ws/src/perception/natnet_ros2/CMakeLists.txt; robot/ros_ws/src/perception/natnet_ros2/env-hooks/natnet_library_path.dsv.in; robot/ros_ws/src/perception/natnet_ros2/launch/natnet_ros2.launch.py,+24/-18
AirStack-core,castacks/AirStack,AirStack-core-029,2026-05-20,commit_msg,https://github.com/castacks/AirStack/commit/26119bc1fb9be7b7170c2964580bfd9a517f8f11,26119bc1fb9be7b7170c2964580bfd9a517f8f11,build,high,unknown,low,"[stack] natnet client adapter referenced ErrorCode_Timeout, absent from NatNet SDK 4.4; compile error",ErrorCode_Timeout was added in NatNet SDK >= 4.5 and is absent in 4.4,no,Compile-time failure.,robot/ros_ws/src/perception/natnet_ros2/src/natnet_client_adapter.cpp,+2/-1
AirStack-core,castacks/AirStack,AirStack-core-030,2026-05-20,ci_run,https://github.com/castacks/AirStack/actions/runs/26189385268,5377171fd9f4a791fe8cd7cb3a67f4fcc79a5941,build,low,ci_premerge,medium,[harness] unit-tests.yml ran ROS-dependent unit tests on a hosted runner without ROS (exit 2); workflow removed and tests moved under system-tests,Unit Tests (pytest -m unit) ... Process completed with exit code 2. / fix: change unit tests to occur with system tests so that environment is built,no,Test-infrastructure environment mismatch; no runtime behavior involved.,.agents/skills/add-unit-tests/SKILL.md; .agents/skills/run-system-tests/SKILL.md; .github/workflows/unit-tests.yml; AGENTS.md; docs/development/intermediate/testing/index.md; docs/development/intermediate/testing/unit_testing.md; (+1 more),+38/-78
AirStack-core,castacks/AirStack,AirStack-core-031,2026-05-26,pr_thread,https://github.com/castacks/AirStack/pull/359#discussion_r3282097018,8b927e465c164039fd00c1b9525bb6e7e36629d1,logic,medium,unknown,high,"[stack] found in PR review: NatNet frame callback dispatched via a thread_local pointer set on the main thread; null on the receive thread, frames dropped","NatNet frame callbacks are typically invoked on an SDK/network receive thread, so the `thread_local` value set in the main thread will be null in the callback thread and frames will be dropped.",uncertain,Would surface as no mocap poses once a real server streamed frames.,robot/ros_ws/src/perception/natnet_ros2/src/natnet_client_adapter.cpp (PR commit 6a2d393ca4 'Use NatNet callback context instead of thread-local dispatch'; commit_sha is the squash merge),+8/-12 (PR commit 6a2d393ca4)
AirStack-core,castacks/AirStack,AirStack-core-032,2026-06-03,pr_thread,https://github.com/castacks/AirStack/pull/365#discussion_r3514285551,cb9c96cc1df3d3f42c889535d32adec05e8b160c,logic,high,sim_interactive,medium,[stack] trajectory_controller: when sphere intersection failed the tracking point collapsed onto the robot and the drone stalled mid-Circle; merged trajectory lacked regenerated waypoint times,an artifact of me trying to fix why the drone was stalling during simulation / Keep the tracking point ahead when sphere intersection fails so the controller does not collapse onto the robot projection and stall.,yes,A mid-trajectory stall with no recovery aborts any autonomous flight and only manifests while tracking a trajectory.,robot/ros_ws/src/local/controls/trajectory_controller/src/trajectory_controller.cpp; robot/ros_ws/src/local/planners/trajectory_library/src/trajectory_library.cpp,+28/-13 (listed files only)
AirStack-core,castacks/AirStack,AirStack-core-033,2026-07-03,commit_msg,https://github.com/castacks/AirStack/commit/6279bea8bea7d3c5e4ea26fb9dde70eda58ff4a5,a43467b7b921a2c9b537f5149a4c2efa2156ae7c,timing_clock,medium,unknown,low,[stack] Pegasus stereo render-product node initialized before the right camera existed; camera_info was not initialized as stereo (submodule fix + perception launch),"re-ordered initialization of stereo render product node to only initialize after right camera is initialized, ensuring camera is initialized as stereo",uncertain,Stereo pipeline silently degraded in sim; would surface as missing disparity.,robot/ros_ws/src/perception/perception_bringup/launch/perception.launch.xml; simulation/isaac-sim/extensions/PegasusSimulator,+3/-1
AirStack-core,castacks/AirStack,AirStack-core-034,2026-07-09,commit_msg,https://github.com/castacks/AirStack/commit/3cb079ab80ca5ae40778332880bd4ad0a764095d,3cb079ab80ca5ae40778332880bd4ad0a764095d,logic,medium,unknown,low,[harness] run_summary.py keyed metrics.json by pytest nodeid (slashes) but results.xml by JUnit dotted classnames; per-test summary joined nothing,Fixed the summary.txt file after it broke ... Unify metrics.json path slashes with JUnit classname dots,no,Reporting script only.,tests/run_summary.py,+61/-23 (listed files only)
AirStack-core,castacks/AirStack,AirStack-core-035,2026-07-17,commit_msg,https://github.com/castacks/AirStack/commit/2d71bf29a7906e88ef9a590f6b0c2f7da470a3a1,2d71bf29a7906e88ef9a590f6b0c2f7da470a3a1,build,high,unknown,low,[stack] Dockerfile.robot hardcoded /opt/ros/jazzy/lib/x86_64-linux-gnu in LD_LIBRARY_PATH; aarch64 (Jetson) images resolved no ROS libraries,-ENV LD_LIBRARY_PATH=/opt/ros/${ROS_DISTRO}/lib/x86_64-linux-gnu:... +ENV LD_LIBRARY_PATH=/opt/ros/${ROS_DISTRO}/lib/${TARGET_ARCH}-linux-gnu:...,no,Container-start failure on the target architecture.,robot/docker/Dockerfile.robot,+6/-2 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-036,2026-07-17,commit_msg,https://github.com/castacks/AirStack/commit/2d71bf29a7906e88ef9a590f6b0c2f7da470a3a1,2d71bf29a7906e88ef9a590f6b0c2f7da470a3a1,parameter,high,unknown,low,"[stack] robot .bashrc always re-derived ROBOT_NAME from the container name, overriding a ROBOT_NAME injected by compose for single real robots",Robot name resolution now honors a pre-set `ROBOT_NAME` (e.g. injected via docker compose) instead of always overriding it from the container/hostname mapping,uncertain,Wrong namespace on a real robot would break every topic remap at bring-up.,robot/docker/.bashrc,+30/-26 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-037,2026-07-21,pr_thread,https://github.com/castacks/AirStack/pull/371#issuecomment-5040222329,aa1e9acfb0febcf6c69987f0b66a302f93c44689,build,high,bench_hardware,medium,[stack] Jetson image: dustynv /ros_entrypoint.sh prepended prebuilt fastcdr 2.2.5 over apt Jazzy 2.2.7; mavros crashed with symbol-lookup errors under autolaunch,"Two real-hardware build fixes for the Jetson profile ... shadowing the apt Jazzy (2.2.7) that Dockerfile.robot layers on, crashing apt-built nodes like mavros with symbol-lookup errors / Successfully built and ran on real jetson hardware.",no,"Manifests at every container start on the Jetson, so it is caught at bench bring-up.",robot/docker/Dockerfile.l4t-stack-base,+4/-0 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-038,2026-07-21,pr_thread,https://github.com/castacks/AirStack/pull/371#issuecomment-5040222329,aa1e9acfb0febcf6c69987f0b66a302f93c44689,build,medium,bench_hardware,low,[stack] ZED l4t image pinned SDK 4.2 with mismatched zed_msgs and point_cloud_transport versions; Jetson build failed until moved to the 5.2 dependency set,zed/Dockerfile.zed-l4t: bump ZED SDK 4.2 -> 5.2 and move the coupled ROS deps together,no,Image build failure only.,robot/docker/zed/Dockerfile.zed-l4t,+6/-4 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-039,2026-07-23,commit_msg,https://github.com/castacks/AirStack/commit/cc833a300b78fbb8b6cc78549312a1a29335cfbc,cc833a300b78fbb8b6cc78549312a1a29335cfbc,build,high,unknown,low,"[stack] isaac-sim image: bundled libcrypto on LD_LIBRARY_PATH shadowed the system one; updated ca-certificates postinst failed, aborting the PX4 setup layer","Its older libcrypto.so.3 shadows the system one, so when the updated ca-certificates ... runs its postinst `openssl`, it fails with `version 'OPENSSL_3.0.9' not found`, aborting the apt transaction and failing the isaac-sim image build",no,Image build failure only.,simulation/isaac-sim/docker/Dockerfile.isaac-ros,+3/-1
AirStack-core,castacks/AirStack,AirStack-core-040,2026-07-31,commit_msg,https://github.com/castacks/AirStack/commit/56814b3424aa67a31668baa02971d4d0eed99c2f,56814b3424aa67a31668baa02971d4d0eed99c2f,parameter,high,unknown,low,[stack] NATNET_SERVER_IP resolved via $(env) but no compose service declared it; NatNet client always fell back to a hardcoded 192.168.123.199 and could never connect,docker compose only injects variables named in a service's `environment:` block and no service declared it ... The client therefore always fell back to its hardcoded default (192.168.123.199),uncertain,Client silently connects nowhere; mocap-only flights would never get a pose.,robot/docker/robot-base-docker-compose.yaml,+10/-0 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-041,2026-07-31,commit_msg,https://github.com/castacks/AirStack/commit/56814b3424aa67a31668baa02971d4d0eed99c2f,56814b3424aa67a31668baa02971d4d0eed99c2f,parameter,high,unknown,low,"[stack] natnet profile pinned body 'Hummingbird' id 1146 while the emulator streams 'Drone' id 1; client filters by numeric id, connected but never published",a mismatch yields a connected client that silently never publishes,uncertain,Silent no-publish; would surface as no state estimate when mocap is the only source.,robot/ros_ws/src/perception/natnet_ros2/config/natnet_config.yaml; robot/ros_ws/src/perception/natnet_ros2/launch/natnet_ros2.launch.py,+14/-6 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-042,2026-07-31,commit_msg,https://github.com/castacks/AirStack/commit/56814b3424aa67a31668baa02971d4d0eed99c2f,56814b3424aa67a31668baa02971d4d0eed99c2f,parameter,high,unknown,low,[stack] EKF2_EVP_NOISE 0.01 set a 5 cm innovation gate that rejected legitimate mocap updates; PX4 refused to arm; retuned to the deployment-validated 0.05,0.01 gave a 5 cm gate that rejected legitimate mocap updates and refused to arm,uncertain,Arming refusal at takeoff; found before flight but only with the full EV chain running.,robot/ros_ws/src/perception/natnet_ros2/config/px4_params.yaml,+33/-5 (listed files only) (commit shared by multiple listed defects)
AirStack-core,castacks/AirStack,AirStack-core-043,2026-07-31,commit_msg,https://github.com/castacks/AirStack/commit/80d5f2f51eed066fced0875c4e609fc17e09f414,6a808bf8c2853f54fba0899af84233067e971343,build,high,sim_interactive,low,"[stack] NatNet emulator not importable inside Isaac (ModuleNotFoundError 'optitrack'); --ext-folder registration alone was insufficient, needed an editable pip install (two attempts)",The natnet launch scripts died with ModuleNotFoundError: No module named 'optitrack'. Pointing Kit's --ext-folder at the repo extensions dir was not enough,no,Fails at simulator launch.,simulation/isaac-sim/docker/docker-compose.yaml,+6/-2 (listed files only)
